nombre_escenario,direccion,barrio,latitud,longitud
Gimnasio al aire libre N 2 Santa InÃ©s,CARRERA 39    80,Santa InÃ©s,6.27195,-75.54966
Sede administrativa o espacio complementario Unidad Deportiva San Blas,CALLE 86 B B  36 A A  45,Las Granjas,6.27985,-75.5474
Cancha polideportiva Coliseo Manrique La 45,CALLE 50 D   62    95,El Pomar,6.20578,-75.58173
Sede administrativa o espacio complementario Coliseo Manrique La 45,CALLE 50 D   62    95,El Pomar,6.20578,-75.58173
Cancha polideportiva Balcones de JardÃ­n,CARRERA 36 C C  82 A,Santa InÃ©s,6.2741,-75.54723
Cancha polideportiva cubierta Desarrollo Deportivo Integral El Raizal,CARRERA 32    78,El Raizal,6.28395,-75.54439
Cancha polideportiva Desarrollo Deportivo Integral El Raizal,CARRERA 32    78,El Raizal,6.28395,-75.54439
Cancha polideportiva JardÃ­n,CALLE 85 D   34,Las Granjas,6.2775,-75.54564
Cancha polideportiva La Cruz,CARRERA 25    75 C   01,La Cruz,1.23456789012346,1.23456789012346
Cancha polideportiva cubierta Unidad Deportiva San Blas,CALLE 86 B B  36 A A  45,Las Granjas,6.27985,-75.5474
Cancha polideportiva Parque GaitÃ¡n,CARRERA 36 A   69,Manrique Oriental,6.2646,-75.54833
Cancha polideportiva cubierta Parque GaitÃ¡n,CARRERA 36 A   69,Manrique Oriental,6.2646,-75.54833
Cancha polideportiva San JosÃ© La Cima,CALLE 92 C   32,La Salle,6.28324,-75.54469
Cancha polideportiva cubierta El Pomar,CALLE 76    42,El Pomar,6.26869,-75.5514
Cancha polideportiva El Pomar,CALLE 76    42,El Pomar,6.26869,-75.5514
Cancha de baloncesto Cubierta Desarrollo Deportivo Integral El Raizal,CARRERA 32    78,El Raizal,6.28395,-75.54439
Cancha de baloncesto Unidad Deportiva San Blas,CALLE 86 B B  36 A A  45,Las Granjas,6.27985,-75.5474
Cancha de baloncesto Cubierta Parque GaitÃ¡n,CARRERA 36 A   69,Manrique Oriental,6.2646,-75.54833
Cancha de fÃºtbol en arenilla Carambolas,CALLE 93    22 C,Maria Cano â€“ Carambolas,6.28326,-75.53936
Cancha de fÃºtbol en arenilla JardÃ­n,CALLE 85 B   34,Las Granjas,6.27698,-75.54563
Cancha de fÃºtbol en arenilla Unidad Deportiva San Blas,CALLE 86 B B  36 A A  45,Las Granjas,6.27985,-75.5474
Cancha de fÃºtbol en arenilla El Pomar,CALLE 76    42,El Pomar,6.26869,-75.5514
Cancha de fÃºtbol en grama sintÃ©tica Desarrollo Deportivo Integral El Raizal,CARRERA 32    78,El Raizal,6.28395,-75.54439
Cancha de microfÃºtbol El Pomar,CALLE 76    42,El Pomar,6.26869,-75.5514
Cancha de microfÃºtbol en grama sintÃ©tica Unidad Deportiva San Blas,CALLE 86 B B  36 A A  45,Las Granjas,6.27985,-75.5474
Cancha de minifÃºtbol La Concordia,CARRERA 31 A   70,Versalles NÂº 1,6.26473,-75.54468
Cancha de vÃ³leibol El Pomar,CALLE 76    42,El Pomar,6.26869,-75.5514
Gimnasio al aire libre BerlÃ­n,CARRERA 45 A   90    31,La PiÃ±uela,6.28225,-75.55324
Gimnasio al aire libre Brasilia,CALLE 81 A   50 A,Brasilia,6.27513,-75.55952
Gimnasio al aire libre La PiÃ±uela,CALLE 86    49 B,Aranjuez,6.27855,-75.55756
Gimnasio al aire libre Moravia Caribe,CARRERA 62    80 C,Moravia,6.28354,-75.58278
Gimnasio al aire libre Desarrollo Deportivo Integral San Isidro,Cancha polideportiva cubierta Florencia,Palermo,6.28781,-75.56401
Gimnasio al aire libre San NicolÃ¡s,CARRERA 49    97 A,BerlÃ­n,6.28895,-75.55554
Gimnasio al aire libre Aranjuez,CARRERA 49 A   94,BerlÃ­n,6.28472,-75.55658
Gimnasio al aire libre Las Esmeraldas,CARRERA 45    88    109,Las Esmeraldas,6.28103,-75.55297
Pista de skate Parque de la RepÃºblica - San Pedro,CARRERA 51 A   70,Sevilla,6.26588,-75.56308
Ludoteka BerlÃ­n,CARRERA 45 A   90    31,La PiÃ±uela,6.28225,-75.55324
Ludoteka Unidad Deportiva Cincuentenario Arturo Bustamante,CARRERA 53    73    135,Moravia,6.27048,-75.5668
NÃºcleo recreativo Unidad Deportiva Cincuentenario Arturo Bustamante,CARRERA 53    73    135,Moravia,6.27048,-75.5668
Sede administrativa o espacio complementario Unidad Deportiva Cincuentenario Arturo Bustamante,CARRERA 53    73    135,Moravia,6.27048,-75.5668
Sede administrativa o espacio complementario Las Esmeraldas,CARRERA 45    88    109,Las Esmeraldas,6.28103,-75.55297
Sede administrativa o espacio complementario Desarrollo Deportivo Integral San Isidro,Cancha polideportiva cubierta Florencia,Palermo,6.28781,-75.56401
Cancha polideportiva BerlÃ­n,CARRERA 45 A   90    31,La PiÃ±uela,6.28225,-75.55324
Cancha polideportiva Brasilia,CALLE 81 A   50 A,Brasilia,6.27401,-75.55972
Cancha polideportiva La PiÃ±uela,CALLE 86    49 B,Aranjuez,6.27855,-75.55756
Cancha polideportiva Moravia Caribe,CARRERA 62    80 C,Moravia,6.28354,-75.58278
Cancha polideportiva cubierta N 1 Desarrollo Deportivo Integral San Isidro,Cancha polideportiva cubierta Florencia,Palermo,6.28781,-75.56401
Cancha polideportiva cubierta N 2 Desarrollo Deportivo Integral San Isidro,Cancha polideportiva cubierta Florencia,Palermo,6.28781,-75.56401
Cancha polideportiva Parque de la RepÃºblica - San Pedro,CARRERA 51 A   70  A,Sevilla,6.26653,-75.56284
Cancha polideportiva Aranjuez,CARRERA 49    94,BerlÃ­n,6.24484,-75.56808
Cancha de baloncesto Desarrollo Deportivo Integral Moravia,CARRERA 58    87 A A,Moravia,6.28092,-75.56783
Cancha de baloncesto El Calvario,CALLE 78    49,Campo Valdes NÂº 1,6.27155,-75.55799
Cancha de fÃºtbol en arenilla Unidad Deportiva Cincuentenario Arturo Bustamante,CARRERA 53    73    135,Moravia,6.27048,-75.5668
