nombre_escenario,direccion,barrio,latitud,longitud
Cancha de fÃºtbol en grama sintÃ©tica La MaracanÃ¡,CARRERA 73    96,La Esperanza,6.29312,-75.57649
Cancha de microfÃºtbol en arenilla El Triunfo,CARRERA 86    106 D,El Progreso,6.30661,-75.58428
Cancha de microfÃºtbol La Tinaja,CARRERA 74 B   104 B,Pedregal,6.26669,-75.58612
Cancha de tejo Unidad Deportiva Doce de Octubre,CALLE 104 B   77 B   21,Santander,6.30387,-75.57683
Piscina Territorio Robledo,CALLE 70 E   99    67,Monteclaro,6.28886,-75.598
Gimnasio al aire libre Desarrollo Deportivo Integral de Robledo,CALLE 63    84    131,Robledo,6.27377,-75.59647
Gimnasio al aire libre Don Bosco,CARRERA 96 A   78 A A,Aures NÂº 1,6.29064,-75.59564
Gimnasio al aire libre El Cucaracho,CALLE 64    98    33,Cucaracho,6.28183,-75.60949
Gimnasio al aire libre El Diamante,CALLE 79 A   85 A   50,El Diamante,6.28497,-75.58678
Gimnasio al aire libre El PolvorÃ­n Bello Horizonte,CARRERA 86    77 E   09,Bello Horizonte,6.28389,-75.58926
Gimnasio al aire libre Fuente Clara,CARRERA 96 A   62 D,Fuente Clara,6.2781,-75.60764
Gimnasio al aire libre Intercambio Vial La 80 (Ã‰xito Robledo),CALLE 60    80 A,Robledo,6.25803,-75.56435
Gimnasio al aire libre Intercambio Vial La 80 (Urb. Los Almendros),CALLE 62    80,San GermÃ¡n,6.26215,-75.57177
Gimnasio al aire libre La CampiÃ±a,CARRERA 94    65,Cucaracho,6.28356,-75.6008
Gimnasio al aire libre La Pola,CARRERA 90    65 F F  04,Cucaracho,6.28052,-75.59741
Gimnasio al aire libre La Quintana,CALLE 88 A   76 A,LÃ³pez de Mesa,6.28574,-75.58255
Gimnasio al aire libre Santa Margarita,CALLE 62    109 A   06,Santa Margarita,6.26146,-75.57037
Gimnasio al aire libre Santa MarÃ­a de Robledo,CALLE 70 C   94 A   18,Monteclaro,6.28682,-75.59966
Street workout CÃ³rdoba,CALLE 79 D   71 A,Altamira,6.27906,-75.57846
Pista multipropÃ³sito La Pilarica,CALLE 74 A   73,La Pilarica,6.27416,-75.58537
Ludoteka Desarrollo Deportivo Integral de Robledo,CALLE 63    84    131,Robledo,6.27377,-75.59647
Pista de patinaje La Quintana,CALLE 88 A   76 A,LÃ³pez de Mesa,6.28574,-75.58255
Parque infantil CÃ³rdoba,CALLE 79 D   71 A,Altamira,6.27906,-75.57846
Zona de lanzamiento de baloncesto N 1 Desarrollo Deportivo Integral de Robledo,CALLE 63    84    131,Robledo,6.27377,-75.59647
Zona de lanzamiento de baloncesto N 2 Desarrollo Deportivo Integral de Robledo,CALLE 63    84    131,Robledo,6.27377,-75.59647
Muro de escalar Desarrollo Deportivo Integral de Robledo,CALLE 63    84    131,Robledo,6.27377,-75.59647
Fuentes interactivas UVA Sol de Oriente,CARRERA 18 A   56 E F  36,Trece de Noviembre,6.24358,-75.54066
Gimnasio al aire libre Desarrollo Deportivo Integral Las Estancias,CALLE 52 A   10 A   120,Villatina,6.23441,-75.53879
Gimnasio al aire libre Las Estancias,CALLE 52 A   10 A   120,Villatina,6.25212,-75.56725
Gimnasio al aire libre UVA Sol de Oriente,CARRERA 18 A   56 E F  36,Trece de Noviembre,6.24358,-75.54066
Muro de prÃ¡ctica de tenis Desarrollo Deportivo Integral de Robledo,CALLE 63    84    131,Robledo,6.27377,-75.59647
Gimnasio al aire libre Enciso,CARRERA 28    58    59,Enciso,6.24992,-75.54821
Gimnasio al aire libre Unidad Deportiva La Ladera,CARRERA 36    59 A   80,La Ladera,6.25135,-75.55322
Cancha polideportiva Aures La Batea,CARRERA 92    83,Aures NÂº 2,6.24674,-75.61585
Cancha polideportiva Bosques de San Pablo,CARRERA 71    75,Bosques de San Pablo,6.25148,-75.59008
Cancha polideportiva Ciudad Central,CARRERA 68    82,CÃ³rdoba,6.28073,-75.57491
Cancha polideportiva cubierta CÃ³rdoba,CARRERA 67 A   81,CÃ³rdoba,6.28008,-75.57439
Cancha polideportiva Curazao,CALLE 76 C A  90 D   32,Aures NÂº 1,6.2843,-75.59465
Gimnasio al aire libre Divina EucaristÃ­a,CALLE 8 A   36    36,El Poblado,6.20174,-75.58954
Gimnasio al aire libre El Garabato,CALLE 4   SUR 29    24,Los Naranjos,6.19483,-75.56108
Gimnasio al aire libre Manila,CALLE 11    43 D   50,Manila,6.21262,-75.57245
Gimnasio al aire libre Parque Recreativo Providencia,CALLE 12   SUR 25    72,Los Balsos NÂº 1,6.18735,-75.56248
Street workout Ciudad del RÃ­o,CARRERA 43 G   18    21  04,Villa Carlota,6.22249,-75.57332
Ludoteka Parque Recreativo Providencia,CALLE 12   SUR 25    72,Los Balsos NÂº 1,6.18735,-75.56248
Cancha polideportiva Desarrollo Deportivo Integral de Robledo,CALLE 63    84    131,Robledo,6.27392,-75.59666
Cancha polideportiva Don Bosco,CARRERA 96 A   78 A A,Aures NÂº 2,6.29064,-75.59564
Cancha polideportiva El Cucaracho,CALLE 96    98    33,Cucaracho,6.28752,-75.55022
Cancha polideportiva El Diamante,CALLE 79 A   85 A   50,El Diamante,6.28497,-75.58678
Cancha polideportiva El PolvorÃ­n Bello Horizonte,CARRERA 86    77 E   09,Bello Horizonte,6.28389,-75.58926
NÃºcleo recreativo Parque Recreativo Providencia,CALLE 12   SUR 25    72,Los Balsos NÂº 1,6.18735,-75.56248
Cancha polideportiva Fuente Clara,CARRERA 96 A   62 D,Fuente Clara,6.2781,-75.60764
Cancha polideportiva La CampiÃ±a,CARRERA 94    64,Cucaracho,6.28037,-75.60409
Fuentes interactivas Unidad Deportiva MarÃ­a Luisa Calle,CARRERA 70    1    200,Parque Juan Pablo II,6.21279,-75.59347
Cancha polideportiva cubierta La Pola,CARRERA 90    65 F F  03,Cucaracho,6.28052,-75.59741
Cancha polideportiva LÃ³pez de Mesa La Quintana,CALLE 88 A   76 A,LÃ³pez de Mesa,6.28575,-75.58253
Cancha polideportiva Los Pomos,CARRERA 89    76 C B,Aures NÂº 1,6.28477,-75.59463
Gimnasio al aire libre Betania Guayabal,CARRERA 56 B   9   SUR 16,La Colina,6.20142,-75.59544
Cancha polideportiva Monte Verde,CALLE 78 B   90,Aures NÂº 1,6.28792,-75.59102
Cancha polideportiva Palenque,CALLE 68    88 A,Palenque,6.27885,-75.59635
Gimnasio al aire libre Campo Amor,CARRERA 58    7    157,Campo Amor,6.21457,-75.58516
Cancha polideportiva Romeral,CALLE 80    93 A,Aures NÂº 2,6.29109,-75.59289
Cancha polideportiva N 1 San GermÃ¡n,CARRERA 74 B   65    205,San GermÃ¡n,6.26741,-75.58541
Gimnasio al aire libre La Colinita N 1,CALLE 11 A  SUR 53 E   54,La Colina,6.19985,-75.59281
Cancha polideportiva N 2 San GermÃ¡n,CARRERA 74 B   65    206,San GermÃ¡n,6.26721,-75.58529
Cancha polideportiva Santa MarÃ­a de la Paz,CARRERA 71 A   81    31,CÃ³rdoba,6.28114,-75.57694
Gimnasio al aire libre Trinidad N 1,CALLE 23    65 B   105,Trinidad,6.22424,-75.5849
Cancha polideportiva Santa MarÃ­a de Robledo,CALLE 70 C   94 A   18,Monteclaro,6.28682,-75.59966
Cancha polideportiva Territorio Robledo,CALLE 70 D   95,Monteclaro,6.14742,-75.61235
Gimnasio al aire libre Desarrollo Deportivo Integral Campo Amor,CALLE 5    65 B   02,Parque Juan Pablo II,6.21286,-75.58721
Cancha polideportiva Villa SofÃ­a N 2,CALLE 84    90,Aures NÂº 2,6.29066,-75.58904
Cancha de baloncesto CÃ³rdoba,CARRERA 67 A   81,CÃ³rdoba,6.28008,-75.57439
Gimnasio al aire libre Juan Pablo II,CARRERA 70    16    04,Parque Juan Pablo II,6.22144,-75.59229
Cancha de baloncesto La Pilarica,CALLE 74 A   73,La Pilarica,6.27416,-75.58537
Cancha de fÃºtbol 7 en arenilla El Volador,CARRERA 72 A A  71,Cerro El Volador,6.27288,-75.58206
Gimnasio al aire libre Unidad Deportiva MarÃ­a Luisa Calle,CARRERA 70    1    200,Parque Juan Pablo II,6.21279,-75.59347
Cancha de fÃºtbol en arenilla La Bombonerita,CARRERA 86    77 E   09,El Diamante,6.2839,-75.58927
Cancha de fÃºtbol en arenilla Santa Margarita,CALLE 62    109 A   06,Santa Margarita,6.27432,-75.61837
Street workout Coliseo Carlos Mauro Hoyos,CARRERA 70    16    04,Parque Juan Pablo II,6.22144,-75.59229
Cancha de fÃºtbol en grama sintÃ©tica CÃ³rdoba,CALLE 79 D   71 A,Altamira,6.27906,-75.57846
Cancha de microfÃºtbol en arenilla de Aures El Chispero,CALLE 88    92 A,Aures NÂº 2,6.29281,-75.58993
Pista multipropÃ³sito Trinidad N 1,CALLE 23    65 B   105,Trinidad,6.22424,-75.5849
Cancha de minifÃºtbol Villa SofÃ­a N 2,CALLE 84    90,Aures NÂº 2,6.29066,-75.58904
Cancha de minifÃºtbol en grama sintÃ©tica La Quintana,CALLE 88 A   76 A,LÃ³pez de Mesa,6.28574,-75.58255
Pista de patinaje de Velocidad Unidad Deportiva MarÃ­a Luisa Calle,CARRERA 70    1    200,Parque Juan Pablo II,6.21279,-75.59347
Cancha de Tenis Palmar del Viento,CALLE 79    72 A   38,Altamira,6.2788,-75.58114
Piscina semiolÃ­mpica Unidad Deportiva La Ladera,CARRERA 36    59 A   80,La Ladera,6.25135,-75.55322
Pista de patinaje de Ruta Unidad Deportiva MarÃ­a Luisa Calle,CARRERA 70    1    200,Parque Juan Pablo II,6.21279,-75.59347
Cancha polideportiva Urb. Altos de San Juan N 2,CALLE 42    116 D   181,El Salado,6.18486,-75.65755
Gimnasio al aire libre La MansiÃ³n,CARRERA 42    64    15,San Miguel,6.25732,-75.55573
Gimnasio al aire libre Llanaditas,CALLE 59 C   19,Los Mangos,6.25307,-75.54213
Gimnasio al aire libre Los Mangos,CARRERA 23    57 C,Los Mangos,6.2502,-75.54492
Cancha polideportiva Betania BelÃ©ncito,CALLE 34 A A  93 B   27,Betania,6.24676,-75.63297
Gimnasio al aire libre El Pinal,CARRERA 23    56 B B,El Pinal,6.24306,-75.54282
Gimnasio al aire libre El Molino,CARRERA 15 A   51,Villatina,6.22899,-75.54402
Gimnasio al aire libre La LÃ³pez,CARRERA 43    66 E,Manrique Oriental,6.26242,-75.55347
Street workout Desarrollo Deportivo Integral Las Estancias,CALLE 52 A   10 A   120,Villatina,6.25212,-75.56725
Cancha polideportiva El Salado Las Independencias,CALLE 39 D   112    11,Veinte de Julio,6.25319,-75.62666
Centro de PromociÃ³n de la Salud UVA Sol de Oriente,CARRERA 18 A   56 E F  36,Trece de Noviembre,6.24358,-75.54066
Ludoteka Desarrollo Deportivo Integral Las Estancias,CALLE 52 A   10 A   120,Villatina,6.23441,-75.53879
Ludoteka UVA Sol de Oriente,CARRERA 18 A   56 E F  36,Trece de Noviembre,6.24358,-75.54066
Megaludoteka,CARRERA 28    52    69,Sucre,6.24338,-75.5497
Cancha polideportiva Blanquizal,CALLE 57 F   92 D D  55,Blanquizal,6.27463,-75.60564
Gimnasio al aire libre Desarrollo Deportivo Integral Alejandro EchavarrÃ­a,CARRERA 14 C   49    22,Alejandro Echevarria,6.23363,-75.54215
Gimnasio al aire libre El Ãvila,CARRERA 30    38 A,Loreto,6.26373,-75.54302
Cancha polideportiva Colinas de Calasanz,CARRERA 87    54    04,El Pesebre,6.24671,-75.61026
Gimnasio al aire libre El Vergel de Los Cerros,CALLE 46 B   17 C,Los Cerros El Vergel,6.23555,-75.54628
Gimnasio al aire libre El Vergel El Solar,CALLE 45    15 C,Los Cerros El Vergel,6.23279,-75.5461
Gimnasio al aire libre La Esmeralda,CALLE 30    32,Asomadera NÂº 1,6.22967,-75.56831
Gimnasio al aire libre La Isla N 2,CALLE 44 A C  10 B,BombonÃ¡ NÂº 2,6.22836,-75.54362
Cancha polideportiva Cuatro Esquinas Parte Baja,CALLE 39 A B  118    12,Nuevos Conquistadores,6.25154,-75.62865
Coliseo UVA Sol de Oriente,CARRERA 18 A   56 E F  36,Trece de Noviembre,6.24358,-75.54066
Cancha polideportiva Beato Iturrate,CARRERA 23    56 F,Trece de Noviembre,6.24739,-75.54298
Cancha polideportiva N 1 Desarrollo Deportivo Integral Antonio NariÃ±o,CARRERA 108    42    94  102,San Javier NÂº 1,6.25624,-75.6214
Cancha polideportiva cubierta Las Estancias,CALLE 52 A   10 A   120,Villatina,6.25212,-75.56725
Cancha polideportiva El Pinal,CARRERA 23 C   56 B B,El Pinal,6.25016,-75.54557
Cancha polideportiva La Bombonera Los Charcos,CARRERA 11    54    114,Villatina,6.23627,-75.53637
Cancha polideportiva N 2 Desarrollo Deportivo Integral Antonio NariÃ±o,CARRERA 108    42    94  104,San Javier NÂº 1,6.25624,-75.6214
Cancha polideportiva Las Golondrinas,CALLE 65    16 D   133,Llanaditas,6.25648,-75.53779
Cancha polideportiva La Inmaculada,CALLE 54    16,Villatina,6.23732,-75.54043
Cancha polideportiva N 1 Unidad Deportiva La Ladera,CARRERA 36    59 A   80,La Ladera,6.25135,-75.55322
Cancha polideportiva N 2 Unidad Deportiva La Ladera,CARRERA 36 A   59 A   80,La Ladera,6.28187,-75.54579
Cancha polideportiva Desarrollo Deportivo Integral El Socorro,CARRERA 102    47 C   33,El Socorro,6.26159,-75.61691
Cancha polideportiva N 3 Unidad Deportiva La Ladera,CARRERA 36    59 A   80,La Ladera,6.25135,-75.55322
Cancha polideportiva La MansiÃ³n,CARRERA 42    64    15,San Miguel,6.25729,-75.55576
Cancha polideportiva Eduardo Santos,CARRERA 120 C   42 B   06,Eduardo Santos,6.25806,-75.62894
Cancha polideportiva Las Mirlas,CALLE 53    3 A,Las Estancias,6.23241,-75.53255
Cancha polideportiva cubierta La Libertad,CALLE 56    20 C,La Libertad,6.24764,-75.56582
Cancha polideportiva Eduardo Santos Parte Alta,CALLE 43    120 D   34,Eduardo Santos,6.25928,-75.62925
Cancha polideportiva Llanaditas,CALLE 59 C   19,Los Mangos,6.25307,-75.54213
Cancha polideportiva PacÃ­fico,CARRERA 17 A   56 H   96,Llanaditas,6.249,-75.53885
Cancha polideportiva El CorazÃ³n La Asomadera,CALLE 34 B   112 C   01,El CorazÃ³n,6.24672,-75.62478
Cancha polideportiva Pinal Manzanares,CALLE 56 A   27,El Pinal,6.24469,-75.54571
Cancha polideportiva El Pesebre,CALLE 59    81    25,El Pesebre,6.27204,-75.59645
Cancha polideportiva Pinar del Cerro,CALLE 56 B B  21,La Libertad,6.24215,-75.54216
Cancha polideportiva Quintas de la Playa,CARRERA 25 A   53,El Pinal,6.19799,-75.55751
Cancha polideportiva El Pozo,CARRERA 83    56    07,El Pesebre,6.27129,-75.59879
Cancha polideportiva Roosevelt,CARRERA 24 B   57 C C  123,Los Mangos,6.24914,-75.54624
Cancha polideportiva Las Independencias N 1,CARRERA 109    36    47,Veinte de Julio,6.24978,-75.62147
Cancha polideportiva San Francisco,CARRERA 23    52 A   57,La Libertad,6.24088,-75.54581
Cancha polideportiva Las Independencias N 2,CALLE 34 C C  111 C   11,Las Independencias,6.24734,-75.62346
Cancha polideportiva Sucre,CARRERA 32    56,Sucre,6.23727,-75.55638
Cancha polideportiva Villatina,CARRERA 2    55 H,La Libertad,6.2361,-75.52919
Cancha polideportiva Las Independencias N 3,CALLE 39 B   11    53,Las Independencias,6.23852,-75.56591
Cancha polideportiva Villa Turbay,CARRERA 2    55 H,La Sierra (Santa LucÃ­a - Las Estancias),6.2361,-75.52919
Cancha polideportiva Los Mangos,CALLE 57 C   24,Los Mangos,6.24916,-75.5449
Cancha polideportiva Los AlcÃ¡zares,CALLE 48 B   88 A   62,Los AlcÃ¡zares,6.25952,-75.60649
Cancha polideportiva Villa Hermosa,CARRERA 39 A   66,Villa Hermosa,6.25843,-75.55134
Cancha polideportiva Metropolitano,CARRERA 96    49 C   61,Metropolitano,6.2639,-75.60779
Cancha polideportiva PilÃ³n Metrocable,CALLE 58    8,Villa Lilliam,6.27402,-75.60396
Cancha polideportiva Mirador de Calasanz,CALLE 58 C   90    161  144,Blanquizal,6.27501,-75.6027
Cancha polideportiva Trece de Noviembre,CARRERA 23 A   56 G,El Pinal,6.2951,-75.53741
Cancha polideportiva Nuevos Conquistadores,CALLE 39 B F  113 B   050,Veinte de Julio,6.25235,-75.62538
Cancha polideportiva Esfuerzos de Paz N 1 EstaciÃ³n Metrocable Las Torres,CARRERA 11    54    114,San Antonio,6.23627,-75.53637
Cancha polideportiva La LÃ³pez,CARRERA 43    66 E,Manrique Oriental,6.26242,-75.55347
Cancha polideportiva Quintas de San Javier,CALLE 43 B   120    02,Antonio NariÃ±o,6.25811,-75.62689
Cancha de baloncesto Las Estancias,CALLE 52 A   10 A   120,Villatina,6.25212,-75.56725
Cancha de baloncesto Enciso,CARRERA 28    58    57,Enciso,6.24992,-75.54821
Cancha polideportiva Santa Rosa de Lima,CALLE 47    87 C   100,Los AlcÃ¡zares,6.24596,-75.56672
Cancha de baloncesto Esfuerzos de Paz,CARRERA 28    58    59,San Antonio,6.24992,-75.54821
Cancha de fÃºtbol en arenilla Unidad Deportiva La Ladera,CARRERA 36    59 A   80,La Ladera,6.25135,-75.55322
Cancha polideportiva Urb. Altos de San Juan N 1 - Mirador de San Juan,CALLE 43    117    65,El Salado,6.24945,-75.60226
Cancha de fÃºtbol en arenilla La MansiÃ³n,CARRERA 42    64    15,La MansiÃ³n,6.25729,-75.55576
Cancha polideportiva cubierta UVA San Javier - Huellas de Vida,CALLE 50 D   62    95,Veinte de Julio,6.20578,-75.58173
Cancha de fÃºtbol en arenilla Llanaditas,CALLE 59 C   19,Llanaditas,6.25272,-75.54236
Cancha de fÃºtbol en arenilla Los Mangos,CARRERA 23    57 C,Los Mangos,6.2502,-75.54492
Cancha polideportiva Villa Laura,CARRERA 105 B   34 B B  124  101,Belencito,6.24612,-75.62048
Cancha de fÃºtbol en arenilla La LÃ³pez,CARRERA 43    66 E,Manrique Oriental,6.26242,-75.55347
Cancha de fÃºtbol en grama sintÃ©tica Desarrollo Deportivo Integral Las Estancias,CALLE 52 A   10 A   120,Villatina,6.23441,-75.53879
Cancha de baloncesto La Divisa,CALLE 49    99 E E  44,JuanXXIII - La Quiebra,6.26796,-75.61342
Cancha de fÃºtbol en grama sintÃ©tica UVA Sol de Oriente,CARRERA 18 A   56 E F  36,Trece de Noviembre,6.24358,-75.54066
Cancha de baloncesto La Pradera Parte Baja,CALLE 47    87 C   100,Los AlcÃ¡zares,6.24596,-75.56672
Cancha de microfÃºtbol en arenilla Enciso,CARRERA 28    58,Enciso,6.24992,-75.54821
Cancha de baloncesto Los AlcÃ¡zares,CALLE 47    87 C   100,Los AlcÃ¡zares,6.24596,-75.56672
Cancha de microfÃºtbol Enciso,CARRERA 28    58,Enciso,6.24992,-75.54821
Cancha de microfÃºtbol Unidad Deportiva La Ladera,CARRERA 36    59 A   80,La Ladera,6.25135,-75.55322
Cancha de baloncesto Veinte de Julio,CALLE 39 B   105 A   05,Veinte de Julio,6.25146,-75.62341
Gimnasio al aire libre La Pastora,CALLE 45    10 A,BombonÃ¡ NÂº 2,6.23004,-75.54287
Gimnasio al aire libre Las Azaleas,CALLE 47    27,Miraflores,6.2427,-75.56126
Gimnasio al aire libre Loreto,CALLE 32    31,Loreto,6.23393,-75.6042
Cancha de fÃºtbol 7 en arenilla Eduardo Santos,CARRERA 120 C   42 B   06,Eduardo Santos,6.25806,-75.62894
Gimnasio al aire libre Los Cerros N 1,CARRERA 14 A   46,Los Cerros El Vergel,6.23274,-75.54198
Cancha de fÃºtbol 7 en arenilla Quintas de San Javier,CALLE 43 D D  120    03,Antonio NariÃ±o,6.21147,-75.57278
Gimnasio al aire libre Quinta Linda N 1,CALLE 36 C   15 A A,BombonÃ¡ NÂº 2,6.23021,-75.545
Cancha de fÃºtbol en arenilla Blanquizal,CALLE 57 F   92 D D  55,Blanquizal,6.27463,-75.60564
Gimnasio al aire libre Unidad Deportiva Miraflores,CARRERA 26 A   49 A   110,Alejandro Echevarria,6.24,-75.54952
Cancha de fÃºtbol en arenilla El Salado Las Independencias,CALLE 39 D   112    11,Veinte de Julio,6.25319,-75.62666
Street workout Unidad Deportiva Miraflores,CARRERA 26 A   49 A   110,Alejandro Echevarria,6.24,-75.54952
Cancha de fÃºtbol en arenilla Santa Rosa de Lima,CALLE 47    87 C   100,Los AlcÃ¡zares,6.24596,-75.56672
Pista multipropÃ³sito Unidad Deportiva Miraflores,CARRERA 26 A   49 A   110,Alejandro Echevarria,6.24,-75.54952
Cancha de fÃºtbol en arenilla Torre Montana,CARRERA 83 A   48 B B  59,Los AlcÃ¡zares,6.26121,-75.60221
Ludoteka Desarrollo Deportivo Integral Alejandro EchavarrÃ­a,CARRERA 14 C   49    22,Alejandro Echevarria,6.23363,-75.54215
Ludoteka Unidad Deportiva Miraflores,CARRERA 26 A   49 A   110,Alejandro Echevarria,6.24,-75.54952
NÃºcleo recreativo Unidad Deportiva Miraflores,CARRERA 26 A   49 A   110,Alejandro Echevarria,6.24,-75.54952
Cancha de fÃºtbol en arenilla Veinte de Julio,CALLE 39 B   105 A   05,Veinte de Julio,6.25146,-75.62341
Gimnasio al aire libre Bomberos,CALLE 46    37    04,BombonÃ¡ NÂº 1,6.242,-75.56025
Gimnasio al aire libre La Asomadera,CARRERA 38 C   39 B   20,San Diego,6.23601,-75.56501
Cancha de fÃºtbol en grama sintÃ©tica Betania BelÃ©ncito,CALLE 34 A A  93 B   27,Betania,6.24676,-75.63297
Gimnasio al aire libre San Diego,CARRERA 38 C   39 B   20,San Diego,6.23601,-75.56501
Cancha de fÃºtbol en grama sintÃ©tica Desarrollo Deportivo Integral Antonio NariÃ±o,CARRERA 108    42    94  102,San Javier NÂº 1,6.25624,-75.6214
Street workout La Asomadera,CARRERA 38 C   39 B   20,San Diego,6.23601,-75.56501
Cancha de fÃºtbol en grama sintÃ©tica Desarrollo Deportivo Integral El Salado,CARRERA 120    39 F D  100,El Salado,6.2562,-75.62763
Parque del Agua Unidad Deportiva Atanasio Girardot,CARRERA 70    48    193,Estadio,6.25362,-75.58777
Cancha de fÃºtbol en grama sintÃ©tica Desarrollo Deportivo Integral El Socorro,CARRERA 102    47 C   33,El Socorro,6.26159,-75.61691
Cancha polideportiva Barrios de JesÃºs,CALLE 49 A   03 D,Barrios de JesÃºs,6.23049,-75.53411
Cancha polideportiva CataluÃ±a N 1,CALLE 40    22 A,CataluÃ±a,6.2314,-75.54992
Cancha de fÃºtbol en grama sintÃ©tica Villa Laura,CARRERA 105 B   34 B B  124  101,Belencito,6.24612,-75.62048
Cancha polideportiva cubierta Desarrollo Deportivo Integral Alejandro EchavarrÃ­a,CARRERA 14 C   49    22,Alejandro Echevarria,6.23363,-75.54215
Cancha de microfÃºtbol En Grama Natural La Loma - Guadarrama,CARRERA 121    57    69,Eduardo Santos,6.27447,-75.62731
Cancha polideportiva El Polvero,CALLE 32    29 A,Loreto,6.22935,-75.55937
Cancha de microfÃºtbol El Socorro Los Ãngeles,CALLE 48 A   103 B B  44,Antonio NariÃ±o,6.25873,-75.60931
Cancha polideportiva cubierta El Vergel de Los Cerros,CALLE 46 B   17 C,Los Cerros El Vergel,6.23555,-75.54628
Cancha de microfÃºtbol La Pradera Parte Baja,CALLE 47    87 C   100,Los AlcÃ¡zares,6.24596,-75.56672
Cancha polideportiva cubierta El Vergel El Solar,CALLE 45    15 C,Los Cerros El Vergel,6.23279,-75.5461
Cancha polideportiva EstaciÃ³n Miraflores,CALLE 51    26 A,Alejandro Echevarria,6.2412,-75.54953
Cancha de minifÃºtbol Cuatro Esquinas Parte Alta,CARRERA 118 A   36 C   53,Nuevos Conquistadores,6.2491,-75.62973
Cancha polideportiva La Esmeralda,CALLE 30    32,Asomadera NÂº 1,6.22967,-75.56831
Cancha de tejo Desarrollo Deportivo Integral El Salado,CARRERA 120    39 F D  100,El Salado,6.2562,-75.62763
Cancha polideportiva La Isla N 1,CARRERA 15 A A  35,BombonÃ¡ NÂº 2,6.22892,-75.5446
Cancha polideportiva La Isla N 2,CALLE 44 A C  10 B,BombonÃ¡ NÂº 2,6.22859,-75.54341
Skate Park de la 4 Sur,CALLE 2   SUR 50,Cristo Rey,6.20533,-75.58313
Cancha polideportiva La Milagrosa,CARRERA 29    41,La Milagrosa,6.235,-75.55478
Cancha polideportiva La Pastora,CALLE 45    10 A,BombonÃ¡ NÂº 2,6.23004,-75.54285
Cancha polideportiva Loreto,CALLE 32    31,Loreto,6.23393,-75.6042
Ludoteka Unidad Deportiva MarÃ­a Luisa Calle,CARRERA 70    1    200,Parque Juan Pablo II,6.21279,-75.59347
Cancha polideportiva Los Cerros N 2,CALLE 46    15 D,Los Cerros El Vergel,6.23274,-75.54421
NÃºcleo recreativo Unidad Deportiva MarÃ­a Luisa Calle,CARRERA 70    1    200,Parque Juan Pablo II,6.21279,-75.59347
Cancha polideportiva cubierta Poblado de Veracruz,CALLE 48    6 A B  101,Barrios de JesÃºs,6.22981,-75.53626
Cancha polideportiva Policarpa Salavarrieta,CARRERA 33 A   41,Gerona,6.23706,-75.5583
Cancha polideportiva Quinta Linda N 1,CALLE 36 C   15 A A,BombonÃ¡ NÂº 2,6.23021,-75.545
Pista de skate Ciudad del RÃ­o,CARRERA 43 G   18    21  01,Villa Carlota,6.22249,-75.57332
Cancha polideportiva Quinta Linda N 2,CALLE 40    15 B,BombonÃ¡ NÂº 2,6.24345,-75.58193
Zona de Ajedrez Desarrollo Deportivo Integral Campo Amor,CALLE 5    65 B   02,Parque Juan Pablo II,6.21286,-75.58721
Cancha polideportiva Quintas del Salvador,CALLE 36    34 F,El Salvador,6.24163,-75.58409
Cancha polideportiva Unidad Deportiva Miraflores,CARRERA 26 A   49 A   110,Alejandro Echevarria,6.24,-75.54952
Parque infantil Desarrollo Deportivo Integral Campo Amor,CARRERA 70    16    04,Parque Juan Pablo II,6.22144,-75.59229
Cancha de baloncesto El Ãvila,CARRERA 30    38 A,Loreto,6.26373,-75.54302
Cancha polideportiva Divina EucaristÃ­a,CALLE 8 A   36    36,El Poblado,6.20174,-75.58954
Cancha de baloncesto Los Cerros N 1,CARRERA 14 A   46,Los Cerros El Vergel,6.23274,-75.54198
Cancha de baloncesto Unidad Deportiva Miraflores,CARRERA 26 A   49 A   110,Alejandro Echevarria,6.24,-75.54952
Cancha polideportiva El Garabato,CALLE 4   SUR 29    24,Los Naranjos,6.19483,-75.56108
Cancha de baloncesto BalcÃ³n de Miraflores,CALLE 42    22 B B,CataluÃ±a,6.23331,-75.55018
Cancha polideportiva cubierta Manila,CALLE 11    43 D   50,Manila,6.21262,-75.57245
Cancha polideportiva cubierta Los GonzÃ¡lez,CALLE 3 B  SUR 29 C   278,Los Naranjos,6.19705,-75.56381
Cancha polideportiva UVA IlusiÃ³n Verde Los Parra,CALLE 1 B  SUR 29 B   50,Los Naranjos,6.1982,-75.56295
Cancha de fÃºtbol 7 en grama sintÃ©tica Parque Recreativo Providencia,CALLE 12   SUR 25    72,Los Balsos NÂº 1,6.18735,-75.56248
Cancha de fÃºtbol en grama sintÃ©tica Manila,CALLE 11    43 D   23,Manila,6.21223,-75.57238
Cancha de tenis de campo N 1 Parque Recreativo Providencia,CALLE 12   SUR 25    72,Los Balsos NÂº 1,6.18735,-75.56248
Cancha de tenis de campo N 2 Parque Recreativo Providencia,CALLE 12   SUR 25    72,Los Balsos NÂº 1,6.18735,-75.56248
Cancha de fÃºtbol en arenilla Caunces de Oriente,CALLE 43 D   08 B,BombonÃ¡ NÂº 2,6.2252,-75.54212
Zona de parkour Coliseo Carlos Mauro Hoyos,CARRERA 70    16    04,Parque Juan Pablo II,6.22144,-75.59229
